League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=181,time=2023-01-19 00:58:30
1	35.55	154984	4434462	C++	_Royale	
1	34.86	3136787	3526104	C++	jacek	
1	32.74	524638	3702947	C++	miklla	
1	31.79	2923506	3835605	C++	darkhorse64	
1	31.03	2311105	3763117	C++	kovi	
1	30.72	2522090	3454012	C++	MSmits	
1	30.7	2924895	3693378	C	trictrac	
1	30.7	3457031	3880188	C++	YurkovAS	
1	30.66	1540478	3840562	C++	struct	
1	30.55	1344487	3463270	C++	UnnamedCodinGamer	
1	29.91	3513265	3760748	C++	DaNinja	
1	29.9	1479930	3692121	C++	LeRenard	
1	29.69	2968035	3855553	C++	DomiKo	
1	29.67	1336464	3509008	C++	magaiti	
1	29.62	664112	3884851	Rust	AllYourTrees	
1	28.66	1314316	3526493	C++	jolindien	
1	28.2	1854246	3763673	C++	Counterbalance	
1	28.15	155774	3693391	C++	dwarfie	
1	27.89	945054	4658522	Rust	Blem	
1	26.77	893541	4000750	Java	wala	
1	26.37	3844625	3538254	C++	surgutti	
1	25.6	3918583	4283265	Rust	mikmak	
1	25.46	1952778	4710521	C++	blast_beat	
1	24.32	862919	3840654	C++	Astrobytes	
1	23.83	1861258	3788916	Rust	Nazdhun	
1	22.86	1489865	3466304	C++	EricSMSO	
1	22.35	1309948	3772900	C++	Runner87	
1	21.64	5052454	4479907	Go	chris.steele	
1	20.48	224325	4307650	Go	[BZH]TidyMaze	
1	18.93	1607522	3762668	C++	RoboStac	
1	18.88	2786666	3528426	C++	TetraktysPhi	
1	17.81	2546042	3772507	Rust	Badewanne3	
1	16.97	1569420	3467403	C++	Tuo	
1	16.45	3799445	4035214	C++	S3v3vn	
1	16.41	4428547	3778369	Java	CappuccinoCoder	
1	16.11	2288263	3686810	Rust	dbdr	
1	15.81	4334237	4470008	Javascript	BJD	
1	15.6	839879	4495091	C#	Washier	
1	14.87	3864752	3780612	Rust	MuddySneakers	
1	14.75	4410648	3765782	Python3	Papappa	
1	14.4	311035	3996288	C++	leojean890	
1	14.16	3148294	4039588	C++	moukasso	
1	14.11	1601217	4296218	C++	Heide	
1	13.86	1575526	3769165	Python3	10Casac	
1	12.77	884874	3762611	D	Zauberer	
1	12.62	3804507	3686806	C++	PanKuleczkaPL	
1	12.61	811622	3472110	C++	Scarfield	
1	12.4	1140677	4004025	C++	Crog	
1	12.38	4423612	3995279	Python3	ChateauMinable	
1	12.37	1802967	4291712	Python3	Meruem	
1	12.21	4229624	3997264	C#	AdnaneCoder	
1	11.3	4363476	3760600	Javascript	GregMc	
1	10.22	3839774	3995270	Rust	gurvan_lullien	
1	9.55	4390014	3995337	Python3	yfe42	
1	9.1	4423293	3995371	C#	WynX1	
1	8.06	2892017	3995362	C++	wonsz	
1	7.48	3235897	3996775	Java	Zylo	
1	5.77	836264	3995327	Python3	RezaSi	
1	5.64	1029602	3472099	C	Potemkine	
1	4.71	581921	4527887	C++	GuyBol	
1	-7.75	2981630	3529098	C++	IHateTheIDEPlayLimit	
0	21.27	4277867	3712425	C++	About	
0	19.12	3647844	4032934	C++	rc95401	
0	19.05	2906497	3455051	C++	daaskare	
0	17.23	2290633	3459000	Python3	field3	
0	17.22	3532429	3876276	C++	Skyf0l	
0	17.2	3343665	4006943	Rust	Quidome	
0	16.92	1475413	4711772	Javascript	AlucardDH	
0	16.22	4409969	3760100	Javascript	Achraf_7	
0	16.22	4242367	3759335	Python3	BobLeBricoleur82	
0	16.02	1610474	3762444	C#	Plink	
0	14.78	4218167	3769567	C#	33L3H2	
0	14.25	4030968	3456913	Python3	MBucas	
0	14.25	1795623	3764898	Python3	Ranya00	
0	14.22	2714683	3766062	Python3	-Oleg-	
0	14.22	3563934	4322446	C#	ChuckTheNinja	
0	14.19	1610862	3764778	Python3	JoseSantosL	
0	14.19	1412263	3697527	PHP	PatrickMcGinnisII	
0	14.19	792813	3461982	Python3	VilBoub	
0	14.17	3741524	3791294	C++	princess_of_zeal	
0	14.16	3925832	3767377	C++	Maxim251	
0	14.12	3219701	3761088	Python3	mayocho12	
0	13.79	3141948	3759661	Python3	philRG	
0	13.76	4440925	3764760	Javascript	Necsus	
0	13.74	2325449	3502825	PHP	otpv	
0	13.69	3569066	3457792	D	derjack	
0	13.68	4436980	3765539	Javascript	CuteBoy_Programmer	
0	13.68	4326417	3762490	C++	omgloki	
0	13.67	4437904	3762074	Python3	Hifoly	
0	13.66	4289644	3518655	C++	Wojciech_Krol	
0	13.65	4379624	3763066	Bash	KamadoTanjiro	
0	13.64	3344383	4404078	C++	Czejoo	
0	13.62	4431618	3758632	C++	Khululeka	
0	13.62	2779063	4397202	Python3	LegendsOfCodeAndMagic	
0	13.6	3951098	3763007	Python3	SlurpasGasskagg	
0	13.57	2508635	3759252	Java	hemhel	
0	13.56	4439070	3761925	C++	Theciber	
0	13.52	3800561	3760982	Java	ndevplanque	
0	13.45	973040	3783536	F#	papyjo	
0	13.42	2218732	3761452	C++	Tailsray	
0	13.29	4273707	3764275	Python3	DamianS6	
0	13.28	2398608	3759968	Python3	M_C	
0	13.26	3061989	3759288	Java	Dr.Mic	
0	13.24	3721214	3455417	C++	jrke	
0	13.22	2012662	3760840	Python3	Natalka1122	
0	13.22	4436614	3759817	Java	GM_Tour	
0	13.16	4187844	3456118	PHP	g74o	
0	13.16	4319239	3764342	Python3	-Cile-	
0	13.15	1800997	3759784	Python3	TheProCode	
0	13.15	4406372	3766492	Javascript	Abdulrhman99	
0	13.15	1713174	3480213	Python3	BigUP	
0	13.13	1667236	3518492	C	Nerwosolek	
0	13.1	4374175	3762974	Python3	milkiyd	
0	13.08	4183089	3985116	Python3	PringleOrange	
0	13.05	484004	3517519	Python3	aCat	
0	13.01	3457893	4424378	Rust	ashr	
0	12.95	4429840	3790858	Python3	plg22	
0	12.94	4407720	3759706	Python3	GuiOdeSa	
0	12.94	4433288	3762932	Javascript	Juanmv94	
0	12.89	1631449	3761728	C++	Sorann753	
0	12.81	4626700	3955793	PHP	JohnyDarecek	
0	12.79	4124065	3757784	Python3	SoggyBunzz	
0	12.75	1435196	3765468	Python3	Arthy	
0	12.75	4088387	3759958	C#	StrykrJ	
0	12.74	3207606	3762537	C++	TobiasA	
0	12.74	4368605	4001576	Python3	Jean_75020	
0	12.73	4132355	3762310	C	ThomPuce	
0	12.73	3975588	3765399	C++	phuctryhard	
0	12.72	3846244	3454612	Python3	JLukeSkywalker	
0	12.69	4387811	3759343	Python3	gd85	
0	12.63	420907	3760399	C#	dsannikov	
0	12.62	1883670	4398204	Javascript	radekmie	
0	12.59	4182831	3759915	Python3	Flaaamort	
0	12.57	4390912	3760632	Python3	Benoit_Belasco	
0	12.57	3354337	3453839	C++	Westicles	
0	12.56	4391541	3784047	C++	burger4d	
0	12.53	4389838	3760795	Python3	Avuvos	
0	12.5	815488	4403935	Java	Seti	
0	12.48	916705	3767495	Python3	csurfer	
0	12.42	4452094	3790335	Python3	masongtxr	
0	12.29	3230794	3467947	TypeScript	tutubalin	
0	12.28	4282042	4397254	Java	aCatAI	
0	12.17	4425151	3762769	Lua	TadeusMaximus	
0	12.13	2826402	3757769	Java	LPAlex	
0	12.12	4014801	3766847	Java	Warred	
0	12.07	2976356	4405692	C++	magmasa	
0	11.78	3903473	3458776	Python3	Konstant	
0	11.7	4419356	3886441	C#	Tourd-bot	
0	11.63	1494694	3763710	Python3	iminurnamez	
0	11.61	2824008	4707898	C#	OccitanieFreelancer	
0	11.35	4057959	3761385	Javascript	EE2020	
0	11.34	4413675	3768927	Python3	Foasde	
0	11.19	2069141	4291415	C#	tomeko	
0	10.92	3169908	3762601	Python3	Shozy	
0	10.88	4430755	4298701	Python3	clementtoun	
0	10.82	3090344	4503215	Python3	codeing	
0	10.38	4426845	3759956	Python3	xMerlinx	
0	9.65	1420817	3788841	Javascript	TheMagicShop	
0	9.61	4334077	3762998	C++	Paul_Demanze	
0	9.57	4055364	3760991	TypeScript	SamuelK	
0	9.34	3844627	3510704	C++	BestProgrammer	
0	8.87	4206982	3760167	Ruby	slempel	
0	8.67	1522266	3799764	D	Sliya	
0	8.65	3561475	3759736	Python3	pthebaul	
0	8.5	2122869	3760057	Javascript	JaPNaA	
0	8.28	4144079	3765625	Java	raphau	
0	8.06	4405933	3762019	C#	Shorre	
0	7.01	2765000	4471949	Javascript	Nowan	
0	6.22	4413457	3760590	C#	Saunuri	
0	5.98	4053233	3766484	Java	Tidurus	
0	5.82	4320981	3764140	Python3	Testas	
0	5.53	3583683	3759240	C#	Asaa	
0	5.36	2833886	3759625	Python3	KnutWart	
0	2.93	4436495	3765826	Haskell	Morendil_fr	
0	1.91	3500464	3766685	Java	ArkadiYordan	
0	1.54	4339686	3764485	C++	Cyril_42	
0	1.46	3283415	3933097	D	Bon[]Crayon	
0	-6.31	520696	3761002	C#	nico91470fr	
0	-7.01	3190059	3787601	C	BastienLavillat	
0	-8.19	2492578	3765042	Python3	Hackintosh	
0	-8.71	4064379	3761380	C#	Channoir	
